CustomerID,FirstName,LastName,Gender,BirthDate,City,JoinDate,Age,State,Country
C029,Tyler,Levine,M,1978-05-20,Phoenix,2021-08-30,47,AZ,USA
C030,Lacey,Hall,M,2002-06-10,Dallas,2022-08-27,23,TX,USA
C031,Ashley,Gibson,F,2003-03-14,Los Angeles,2025-08-26,22,CA,USA
C032,Valerie,Macdonald,M,1992-11-09,Boston,2021-01-12,33,MA,USA
C033,Jenny,Beck,F,1978-07-27,San Jose,2025-03-17,47,CA,USA
C034,Kari,Miller,F,1964-12-19,San Diego,2025-01-13,61,CA,USA
C035,Kimberly,King,F,1991-04-19,Seattle,2023-03-22,34,WA,USA
C036,Michael,Cervantes,M,1991-11-04,Dallas,2020-09-30,34,TX,USA
C037,Miranda,Nelson,F,1982-08-30,Austin,2024-01-31,43,TX,USA
C038,Tracey,Davis,M,1974-04-19,Philadelphia,2021-05-10,51,PA,USA
C039,Nancy,Savage,F,1996-11-02,Seattle,2022-10-17,29,WA,USA
C040,Scott,Powell,M,1974-11-06,San Jose,2022-07-12,51,CA,USA
C041,Melissa,Rodgers,F,1980-07-03,San Diego,2023-01-24,45,CA,USA
C042,Anna,Andrews,F,2000-02-08,Dallas,2021-11-09,25,TX,USA
C043,Kenneth,Allen,M,1988-09-14,Atlanta,2023-10-14,37,GA,USA
C044,Parker,Sparks,M,1961-02-14,Los Angeles,2024-12-27,64,CA,USA
C045,Kelly,Shaw,M,1975-12-28,San Jose,2023-10-09,50,CA,USA
C046,Dennis,Poole,M,1964-01-21,San Diego,2022-06-25,61,CA,USA
C047,Mary,Decker,F,2006-07-03,San Antonio,2025-02-25,19,TX,USA
C048,Alexis,Crane,M,2004-12-30,Phoenix,2022-04-10,21,AZ,USA
C049,Antonio,Hamilton,M,1997-01-03,Phoenix,2022-06-23,29,AZ,USA
C050,Kelly,Mcmillan,M,1968-06-20,Chicago,2022-08-25,57,IL,USA
C051,Madison,Sellers,F,2004-12-19,Denver,2024-02-25,21,CO,USA
C052,Billy,Hernandez,F,1991-09-11,Denver,2024-04-25,34,CO,USA
C053,Felicia,Morgan,F,1998-04-20,New York,2024-04-07,27,NY,USA
C054,Crystal,Johnson,F,2002-11-10,San Jose,2021-03-19,23,CA,USA
C055,Deborah,Moody,M,1976-07-09,Phoenix,2021-02-05,49,AZ,USA
C056,Carl,Wyatt,F,2004-09-23,San Jose,2021-06-19,21,CA,USA
C057,Julie,Gibson,F,1998-09-26,Phoenix,2023-03-26,27,AZ,USA
C058,Lawrence,Stewart,M,2005-07-22,Atlanta,2020-11-10,20,GA,USA
C059,Scott,Wyatt,F,1963-05-11,Seattle,2024-09-27,62,WA,USA
C060,Anthony,Conway,M,1997-10-09,Houston,2025-06-15,28,TX,USA
C061,Heather,Russell,M,1968-10-21,Philadelphia,2021-02-01,57,PA,USA
C062,Susan,Salinas,M,2000-06-21,Austin,2021-09-23,25,TX,USA
C063,Michael,Johnson,M,1973-01-07,New York,2023-05-29,53,NY,USA
C064,Amanda,Hoover,F,1973-09-01,New York,2024-09-26,52,NY,USA
C065,Scott,Duke,F,1969-12-10,Chicago,2024-01-21,56,IL,USA
C066,Jason,Jenkins,F,1985-09-14,Los Angeles,2020-12-21,40,CA,USA
C067,Daniel,Maldonado,M,1973-09-07,Atlanta,2021-03-11,52,GA,USA
C068,Alexandra,Montoya,F,1981-06-09,Dallas,2024-06-13,44,TX,USA
C069,Gabriel,Daugherty,M,1965-10-14,Chicago,2023-01-11,60,IL,USA
C070,Eric,Bryan,M,1971-10-24,San Diego,2021-03-04,54,CA,USA
C071,Denise,Gutierrez,M,1962-06-18,Austin,2021-05-24,63,TX,USA
C072,Eric,Watkins,F,1995-06-06,Austin,2022-07-02,30,TX,USA
C073,Carl,Armstrong,F,1964-12-04,New York,2022-02-09,61,NY,USA
C074,Jesus,Singh,F,1959-05-31,Dallas,2023-02-09,66,TX,USA
C075,Seth,Moore,M,1954-09-17,San Antonio,2021-05-12,71,TX,USA
C076,Phyllis,Durham,M,2005-12-14,New York,2022-05-07,20,NY,USA
C077,Matthew,Juarez,F,2002-12-24,Houston,2022-10-21,23,TX,USA
C078,Jeanne,Young,M,1988-09-25,Seattle,2025-01-14,37,WA,USA
C079,Donald,Marsh,F,1979-06-15,San Antonio,2024-07-06,46,TX,USA
C080,Grace,Garcia,F,2003-11-04,San Diego,2023-01-02,22,CA,USA
C081,Sarah,Reynolds,F,1988-07-20,Boston,2022-09-22,37,MA,USA
C082,Amy,Haley,M,2003-05-11,Seattle,2024-06-29,22,WA,USA
C083,Jeremy,Robles,F,1981-03-29,San Diego,2022-02-08,44,CA,USA
C084,Amanda,Lee,M,1972-03-19,Denver,2024-09-04,53,CO,USA
C085,Juan,Ramirez,M,1979-03-23,Atlanta,2023-10-11,46,GA,USA
C086,Lawrence,Hunter,F,1975-09-26,Denver,2023-07-26,50,CO,USA
C087,Laurie,Mason,F,1975-06-22,Seattle,2025-07-02,50,WA,USA
C088,Brenda,Costa,F,1997-10-11,San Jose,2022-09-12,28,CA,USA
C089,William,Warner,F,1969-07-12,Philadelphia,2022-11-25,56,PA,USA
C090,Carrie,Peterson,M,1975-08-18,Houston,2022-01-16,50,TX,USA
C091,Brian,Fowler,M,1963-02-04,Atlanta,2021-08-23,62,GA,USA
C092,Lindsey,Holder,F,2001-11-28,Seattle,2023-12-17,24,WA,USA
C093,Stanley,Brown,M,1978-04-14,San Jose,2022-02-25,47,CA,USA
C094,Kimberly,Stokes,M,1962-10-18,Philadelphia,2025-08-07,63,PA,USA
C095,Kevin,Snyder,M,1982-08-20,San Antonio,2020-12-19,43,TX,USA
C096,Eric,King,M,1989-01-06,San Diego,2021-10-27,37,CA,USA
C097,Evelyn,Gray,M,1994-08-14,Boston,2025-06-14,31,MA,USA
C098,Lisa,Vega,F,2005-01-09,Houston,2023-05-22,20,TX,USA
C099,Kimberly,Jones,M,1964-07-22,Dallas,2021-01-17,61,TX,USA
C100,Sean,Hart,F,1954-09-28,Boston,2024-11-06,71,MA,USA
C101,William,Pope,F,1956-05-29,Austin,2024-09-08,69,TX,USA
C102,Carolyn,Perez,F,1996-06-20,Denver,2023-11-12,29,CO,USA
C103,David,Burns,F,1964-10-26,Los Angeles,2021-06-04,61,CA,USA
C104,Brenda,Dean,M,1965-03-20,Chicago,2024-01-17,60,IL,USA
C105,Kenneth,Berg,M,1969-12-29,Boston,2023-07-06,56,MA,USA
C106,Kevin,Flores,F,1987-04-23,Los Angeles,2025-02-06,38,CA,USA
C107,Victoria,Hansen,F,1995-10-08,Austin,2023-07-17,30,TX,USA
C108,Samantha,Hill,M,1960-11-21,San Antonio,2022-06-08,65,TX,USA
C109,Austin,Hogan,F,2006-03-03,Chicago,2021-07-29,19,IL,USA
C110,Travis,Peters,F,1966-01-05,Atlanta,2022-12-31,60,GA,USA
C111,Dylan,Booker,M,1993-07-13,Houston,2022-01-12,32,TX,USA
C112,Jeffrey,Smith,F,1983-12-29,New York,2023-03-21,42,NY,USA
C113,Heidi,Wilson,M,1977-05-23,Los Angeles,2022-12-31,48,CA,USA
C114,Miranda,Rodriguez,F,1980-07-04,Los Angeles,2025-08-23,45,CA,USA
C115,Jose,Smith,M,1960-02-25,Austin,2023-11-12,65,TX,USA
C116,Jamie,Webb,M,1955-09-26,Dallas,2025-07-31,70,TX,USA
C117,Timothy,Beck,F,1987-09-07,Houston,2022-12-18,38,TX,USA
C118,Gina,Bradford,M,1975-08-27,Boston,2025-07-12,50,MA,USA
C119,Jason,Lloyd,M,1991-07-31,Denver,2025-03-31,34,CO,USA
C120,Curtis,Faulkner,F,1964-01-10,San Antonio,2020-10-18,62,TX,USA
C121,John,Bell,M,1967-02-28,Phoenix,2021-10-11,58,AZ,USA
C122,Amy,Smith,M,1961-10-02,San Jose,2024-06-24,64,CA,USA
C123,Peter,Edwards,F,1989-11-06,Dallas,2022-06-06,36,TX,USA
C124,Chad,Roberts,F,1962-06-07,Phoenix,2021-02-10,63,AZ,USA
C125,Kimberly,Parker,M,1990-04-03,Dallas,2021-03-14,35,TX,USA
C126,Monique,Johnson,M,1980-04-04,Seattle,2024-12-28,45,WA,USA
C127,John,Allen,F,1982-11-17,Philadelphia,2021-01-22,43,PA,USA
C128,Robert,Collins,F,1976-08-06,San Diego,2025-02-09,49,CA,USA
C129,Gary,Taylor,M,1958-10-08,Denver,2024-12-10,67,CO,USA
C130,Aaron,Bailey,M,1982-02-03,San Antonio,2024-07-15,43,TX,USA
C131,Denise,Jackson,M,1996-10-18,Houston,2022-12-20,29,TX,USA
C132,Jared,Ochoa,M,1958-12-24,San Diego,2023-04-19,67,CA,USA
C133,Yvette,Roth,M,1962-04-14,Dallas,2025-06-23,63,TX,USA
C134,Emily,Hart,F,1985-01-29,Philadelphia,2025-05-22,40,PA,USA
C135,Mario,Cuevas,M,1986-03-07,San Diego,2023-09-03,39,CA,USA
C136,Amanda,Garcia,M,2007-06-27,Atlanta,2023-04-22,18,GA,USA
C137,Gary,Lopez,M,1984-08-05,Houston,2024-05-09,41,TX,USA
C138,Breanna,Moore,F,1961-09-28,San Jose,2021-05-10,64,CA,USA
C139,Alexander,Mcfarland,M,1960-03-21,Los Angeles,2021-09-16,65,CA,USA
C140,Stacy,Williams,F,1973-06-12,Houston,2024-08-28,52,TX,USA
C141,Adam,Lucas,F,1978-08-06,Chicago,2024-01-07,47,IL,USA
C142,Suzanne,Fox,M,2005-07-25,Boston,2020-12-27,20,MA,USA
C143,Cynthia,Carlson,M,1961-06-03,Los Angeles,2023-06-10,64,CA,USA
C144,Betty,Johnson,F,1963-09-02,Chicago,2021-03-03,62,IL,USA
C145,Paige,Osborne,F,1959-11-07,Chicago,2021-08-19,66,IL,USA
C146,John,Johnson,F,1997-03-26,Denver,2022-08-31,28,CO,USA
C147,Crystal,Garrison,F,1967-02-03,Philadelphia,2023-05-20,58,PA,USA
C148,John,Foster,F,2005-07-08,Philadelphia,2024-11-05,20,PA,USA
C149,Melissa,Torres,M,1978-01-24,New York,2025-05-02,47,NY,USA
C150,Francis,Hernandez,M,1971-06-17,Chicago,2022-10-07,54,IL,USA
C151,Dawn,Fletcher,M,2006-08-30,Seattle,2022-01-26,19,WA,USA
C152,Brittany,Green,M,1987-06-17,Philadelphia,2021-03-06,38,PA,USA
C153,Nancy,Gordon,F,1988-04-07,Boston,2023-02-05,37,MA,USA
C154,Lisa,Martinez,M,1971-09-02,Chicago,2023-11-21,54,IL,USA
C155,Jill,Mcconnell,M,1965-09-20,Phoenix,2024-03-23,60,AZ,USA
C156,George,Young,M,1956-11-28,Philadelphia,2024-01-04,69,PA,USA
C157,Connie,Terry,M,1965-12-16,Austin,2022-12-22,60,TX,USA
C158,Crystal,Aguirre,M,1981-07-24,New York,2023-09-15,44,NY,USA
C159,Thomas,Chung,M,1990-10-14,New York,2022-01-26,35,NY,USA
C160,Meagan,Macdonald,M,1991-09-10,Phoenix,2021-10-27,34,AZ,USA
C161,Michael,Perez,M,1963-01-19,San Diego,2023-01-31,62,CA,USA
C162,Jill,Roach,M,2000-08-30,Los Angeles,2022-06-03,25,CA,USA
C163,Erin,Rogers,F,1985-10-08,Boston,2025-08-20,40,MA,USA
C164,Linda,Vasquez,M,1968-07-28,San Antonio,2020-12-21,57,TX,USA
C165,Tanya,Mueller,M,1972-12-26,Boston,2023-12-05,53,MA,USA
C166,Meagan,Ali,F,2001-05-13,Phoenix,2023-07-10,24,AZ,USA
C167,Kimberly,Lin,F,1989-12-06,San Antonio,2022-05-28,36,TX,USA
C168,Richard,Jones,M,1969-07-30,Chicago,2022-10-01,56,IL,USA
C169,Travis,Watson,M,1967-06-15,San Antonio,2021-12-23,58,TX,USA
C170,Amber,Graham,F,1984-05-05,Atlanta,2025-08-20,41,GA,USA
C171,Christina,Dominguez,M,1993-03-15,Houston,2025-07-28,32,TX,USA
C172,Michelle,Smith,F,1977-03-14,Houston,2025-06-21,48,TX,USA
C173,Lisa,Ruiz,F,1958-08-28,Houston,2025-08-22,67,TX,USA
C174,Scott,Howell,M,2005-07-07,Chicago,2025-08-28,20,IL,USA
C175,Stacey,Thompson,M,1998-01-07,Boston,2021-02-25,28,MA,USA
C176,Peter,Garcia,M,1979-10-07,Los Angeles,2021-07-22,46,CA,USA
C177,Anthony,Gould,F,1985-01-05,New York,2022-01-23,41,NY,USA
C178,Mark,Mcdonald,F,1960-12-05,San Jose,2024-06-22,65,CA,USA
C179,Dennis,Wallace,F,1985-02-14,Austin,2025-08-19,40,TX,USA
C180,Nichole,Calhoun,F,1959-12-15,Philadelphia,2022-10-19,66,PA,USA
C181,Brittany,Oneal,F,1972-11-28,Los Angeles,2024-12-12,53,CA,USA
C182,Meghan,Wright,M,2004-07-25,Seattle,2021-04-16,21,WA,USA
C183,Mary,Dawson,M,1990-11-19,Houston,2021-08-27,35,TX,USA
C184,Daniel,Mcintyre,M,2003-04-13,Dallas,2021-04-19,22,TX,USA
C185,Joe,Vincent,F,1975-07-04,Dallas,2024-10-06,50,TX,USA
C186,Vicki,Guzman,F,1960-05-05,New York,2024-02-07,65,NY,USA
C187,Cynthia,Cherry,M,1989-01-14,San Diego,2023-11-01,36,CA,USA
C188,Ryan,Flores,M,1960-11-23,Phoenix,2023-05-19,65,AZ,USA
C189,Steve,Flynn,M,1966-08-07,Atlanta,2021-03-05,59,GA,USA
C190,Daniel,Lawson,M,1967-08-19,San Jose,2023-04-10,58,CA,USA
C191,Karen,Quinn,F,1958-07-14,San Antonio,2022-06-11,67,TX,USA
C192,James,Wilson,M,2006-07-28,Phoenix,2023-09-26,19,AZ,USA
C193,Donald,Meza,F,1969-11-06,Los Angeles,2020-12-08,56,CA,USA
C194,Ann,West,M,2000-09-02,Denver,2022-08-05,25,CO,USA
C195,James,Mitchell,F,1976-08-23,Austin,2025-06-19,49,TX,USA
C196,James,Noble,F,1964-04-24,San Diego,2025-02-19,61,CA,USA
C197,Matthew,Dixon,M,1957-09-23,Denver,2020-11-18,68,CO,USA
C198,Jessica,Mullins,M,1986-01-23,Austin,2022-12-10,39,TX,USA
C199,Juan,Johnson,F,1970-05-18,Philadelphia,2021-07-28,55,PA,USA
C200,Ronald,Haley,M,2001-12-24,San Jose,2025-06-24,24,CA,USA
